id1	id2	type
AT1G05410	AT3G10140	PPI
AT3G54850	AT5G19010	PPI
AT3G07780	AT5G66720	PPI
AT1G80040	AT5G66720	PPI
AT1G09660	AT2G38610	PPI
AT1G15385	AT4G24840	PPI
AT1G63130	AT3G53630	PPI
AT1G15385	AT3G08530	PPI
AT2G38610	AT3G21215	PPI
AT5G39730	AT5G50130	PPI
AT2G39010	AT4G23400	PPI
AT1G22840	AT4G01920	PPI
AT3G16240	AT4G35580	PPI
AT2G37620	AT5G09810	PPI
AT1G20140	AT5G67140	PPI
AT1G24050	AT5G54920	PPI
AT2G45850	AT4G12080	PPI
AT1G78100	AT4G28720	PPI
AT3G16240	AT5G22290	PPI
AT2G43370	AT5G61010	PPI
AT3G52930	AT5G03690	PPI
AT2G43370	AT5G53800	PPI
AT2G20130	AT3G13710	PPI
AT1G67800	AT4G23050	PPI
AT3G13710	AT5G17450	PPI
AT1G22920	AT1G67800	PPI
AT2G01770	AT4G19030	PPI
AT2G38360	AT5G58750	PPI
AT2G28240	AT4G32450	PPI
AT1G60600	AT5G22290	PPI
AT2G25810	AT5G22290	PPI
AT3G01660	AT5G22290	PPI
AT1G22760	AT2G37150	PPI
AT2G30590	AT4G08150	PPI
AT3G28715	AT5G23130	PPI
AT1G01910	AT5G44580	PPI
AT3G28715	AT5G63310	PPI
AT5G11980	AT5G38420	PPI
AT1G78310	AT3G45640	PPI
AT2G30590	AT5G61010	PPI
AT1G69690	AT5G38420	PPI
AT3G28715	AT4G01920	PPI
AT3G13720	AT5G49000	PPI
AT3G13710	AT3G29270	PPI
AT1G67800	AT3G13222	PPI
AT1G32700	AT3G07780	PPI
AT1G01910	AT4G19810	PPI
AT3G01300	AT5G61010	PPI
AT1G73360	AT5G38420	PPI
AT1G22760	AT3G49580	PPI
AT1G14340	AT5G58750	PPI
AT1G60670	AT2G21650	PPI
AT3G10260	AT3G13175	PPI
AT3G10260	AT3G61300	PPI
AT1G01910	AT1G05575	PPI
AT1G01910	AT3G59930	PPI
AT1G15750	AT2G46870	PPI
AT1G01210	AT1G31880	PPI
AT1G22630	AT3G19520	PPI
AT1G67865	AT3G13720	PPI
AT3G13720	AT5G16840	PPI
AT3G03000	AT5G01970	PPI
AT4G35580	AT5G56020	PPI
AT1G52250	AT5G22310	PPI
AT1G77950	AT4G02590	PPI
AT1G52250	AT2G42790	PPI
AT5G07110	AT5G56020	PPI
AT2G01175	AT5G22290	PPI
AT4G28720	AT5G22290	PPI
AT2G01770	AT4G35580	PPI
AT3G13710	AT4G35580	PPI
AT1G48260	AT3G03950	PPI
AT1G64180	AT1G69810	PPI
AT5G01640	AT5G07110	PPI
AT1G14360	AT4G19030	PPI
AT4G10430	AT4G19030	PPI
AT1G47260	AT5G55200	PPI
AT1G19180	AT1G22920	PPI
AT1G14360	AT1G27300	PPI
AT1G27300	AT4G10430	PPI
AT5G02870	AT5G58720	PPI
AT4G28640	AT5G02870	PPI
AT2G47710	AT3G11930	PPI
AT3G24140	AT4G33520	PPI
AT3G23390	AT4G28640	PPI
AT1G29990	AT5G17990	PPI
AT2G39760	AT4G14900	PPI
AT1G78100	AT5G61340	PPI
AT2G20570	AT4G14900	PPI
AT4G01480	AT5G02780	PPI
AT1G03040	AT5G15330	PPI
AT1G27300	AT2G46890	PPI
AT1G27300	AT1G60600	PPI
AT1G52250	AT3G17668	PPI
AT3G17668	AT4G22240	PPI
AT3G09630	AT4G28640	PPI
AT2G41900	AT5G40190	PPI
AT4G35580	AT5G43460	PPI
AT4G35580	AT5G43670	PPI
AT4G00550	AT4G35580	PPI
AT1G24764	AT2G44950	PPI
AT1G04100	AT3G23030	PPI
AT1G04100	AT1G52830	PPI
AT3G04730	AT4G29080	PPI
AT1G22920	AT1G51560	PPI
AT1G52250	AT4G32960	PPI
AT4G32960	AT5G42470	PPI
AT3G59810	AT4G30330	PPI
AT2G44950	AT4G24840	PPI
AT3G03960	AT3G11830	PPI
AT1G17970	AT3G62310	PPI
AT2G34040	AT4G02590	PPI
AT1G23900	AT2G34040	PPI
AT1G07440	AT2G29310	PPI
AT3G16120	AT4G36515	PPI
AT3G24140	AT5G46690	PPI
AT1G65620	AT2G30340	PPI
AT4G03410	AT4G19030	PPI
AT4G14950	AT4G19030	PPI
AT4G02725	AT4G19030	PPI
