id1	id2	type	cor_dir
AT1G80380	AT2G41560	correlation_pair	correlated
AT1G73920	AT2G41560	correlation_pair	correlated
AT1G22500	AT2G41560	correlation_pair	correlated
AT2G26980	AT2G41560	correlation_pair	correlated
AT3G48990	AT4G17670	correlation_pair	anti_correlated
AT1G01190	AT4G14630	correlation_pair	correlated
AT5G12860	AT5G13110	correlation_pair	correlated
AT5G10030	AT5G13110	correlation_pair	correlated
AT5G10210	AT5G13110	correlation_pair	correlated
AT5G07890	AT5G13110	correlation_pair	correlated
AT3G60750	AT5G13110	correlation_pair	correlated
AT3G58610	AT5G13110	correlation_pair	correlated
AT3G49940	AT5G13110	correlation_pair	correlated
AT4G26970	AT5G13110	correlation_pair	correlated
AT4G25835	AT5G13110	correlation_pair	correlated
AT4G24620	AT5G13110	correlation_pair	correlated
AT4G09620	AT5G13110	correlation_pair	correlated
AT4G05390	AT5G13110	correlation_pair	correlated
AT4G02920	AT5G13110	correlation_pair	correlated
AT4G02380	AT5G13110	correlation_pair	correlated
AT1G25550	AT5G13110	correlation_pair	correlated
AT1G13300	AT5G13110	correlation_pair	correlated
AT1G80380	AT5G13110	correlation_pair	correlated
AT1G63940	AT5G13110	correlation_pair	correlated
AT1G73920	AT5G13110	correlation_pair	correlated
AT2G43760	AT5G13110	correlation_pair	correlated
AT1G49160	AT5G13110	correlation_pair	correlated
AT1G43710	AT5G13110	correlation_pair	correlated
AT1G16170	AT5G13110	correlation_pair	correlated
AT1G30510	AT5G13110	correlation_pair	correlated
AT1G78050	AT5G13110	correlation_pair	correlated
AT1G64190	AT5G13110	correlation_pair	correlated
AT2G31955	AT5G13110	correlation_pair	correlated
AT2G17820	AT5G13110	correlation_pair	correlated
AT1G24280	AT5G13110	correlation_pair	correlated
AT2G15620	AT5G13110	correlation_pair	correlated
AT2G27510	AT5G13110	correlation_pair	correlated
AT2G48080	AT5G13110	correlation_pair	correlated
AT2G26980	AT5G13110	correlation_pair	correlated
AT5G12880	AT5G20885	correlation_pair	correlated
AT5G06570	AT5G20885	correlation_pair	correlated
AT3G63260	AT5G20885	correlation_pair	correlated
AT3G52360	AT5G20885	correlation_pair	correlated
AT1G49860	AT5G20885	correlation_pair	correlated
AT1G74660	AT5G20885	correlation_pair	correlated
AT2G46620	AT5G20885	correlation_pair	correlated
AT4G36380	AT5G19970	correlation_pair	correlated
AT5G10210	AT5G19970	correlation_pair	correlated
AT5G07680	AT5G19970	correlation_pair	correlated
AT5G04950	AT5G19970	correlation_pair	correlated
AT1G13300	AT5G19970	correlation_pair	correlated
AT1G16170	AT5G19970	correlation_pair	correlated
AT1G22500	AT5G19970	correlation_pair	correlated
AT1G70410	AT5G19970	correlation_pair	correlated
AT2G48080	AT5G19970	correlation_pair	correlated
AT2G26980	AT5G19970	correlation_pair	correlated
AT4G26970	AT4G36380	correlation_pair	correlated
AT3G52360	AT4G36380	correlation_pair	correlated
AT1G22500	AT4G36380	correlation_pair	correlated
AT5G10210	AT5G15830	correlation_pair	correlated
AT4G18340	AT5G15830	correlation_pair	correlated
AT4G02380	AT5G15830	correlation_pair	correlated
AT3G52360	AT5G15830	correlation_pair	correlated
AT1G13300	AT5G15830	correlation_pair	correlated
AT1G80380	AT5G15830	correlation_pair	correlated
AT1G22500	AT5G15830	correlation_pair	correlated
AT1G64190	AT5G15830	correlation_pair	correlated
AT3G18560	AT5G27100	correlation_pair	correlated
AT1G49000	AT5G27100	correlation_pair	correlated
AT5G02420	AT5G24910	correlation_pair	correlated
AT5G13110	AT5G67420	correlation_pair	correlated
AT5G41670	AT5G67420	correlation_pair	correlated
AT5G40850	AT5G67420	correlation_pair	correlated
AT5G10210	AT5G67420	correlation_pair	correlated
AT3G49940	AT5G67420	correlation_pair	correlated
AT4G09620	AT5G67420	correlation_pair	correlated
AT4G05390	AT5G67420	correlation_pair	correlated
AT1G25550	AT5G67420	correlation_pair	correlated
AT2G43760	AT5G67420	correlation_pair	correlated
AT1G43710	AT5G67420	correlation_pair	correlated
AT1G30510	AT5G67420	correlation_pair	correlated
AT1G78050	AT5G67420	correlation_pair	correlated
AT1G64190	AT5G67420	correlation_pair	correlated
AT1G24280	AT5G67420	correlation_pair	correlated
