id	TF_family	gen_type
AT3G24650	ABI3VP1	TF
AT3G26790	ABI3VP1	TF
AT1G28300	ABI3VP1	TF
AT2G30470	ABI3VP1	TF
AT4G32010	ABI3VP1	TF
AT4G21550	ABI3VP1	TF
AT1G01030	ABI3VP1	TF
AT1G25560	ABI3VP1	TF
AT3G18990	ABI3VP1	TF
AT3G17010	ABI3VP1	TF
AT4G30080	ABI3VP1	TF
AT1G14510	Alfin-like	TF
AT2G02470	Alfin-like	TF
AT3G42790	Alfin-like	TF
AT5G26210	Alfin-like	TF
AT5G05610	Alfin-like	TF
AT3G11200	Alfin-like	TF
AT5G20510	Alfin-like	TF
AT4G25480	AP2-EREBP	TF
AT4G25470	AP2-EREBP	TF
AT4G25490	AP2-EREBP	TF
AT5G51990	AP2-EREBP	TF
AT1G12610	AP2-EREBP	TF
AT1G63030	AP2-EREBP	TF
AT5G25810	AP2-EREBP	TF
AT3G16280	AP2-EREBP	TF
AT5G11590	AP2-EREBP	TF
AT1G33760	AP2-EREBP	TF
AT4G32800	AP2-EREBP	TF
AT1G77200	AP2-EREBP	TF
AT3G60490	AP2-EREBP	TF
AT2G35700	AP2-EREBP	TF
AT2G44940	AP2-EREBP	TF
AT1G12630	AP2-EREBP	TF
AT1G71450	AP2-EREBP	TF
AT4G16750	AP2-EREBP	TF
AT2G36450	AP2-EREBP	TF
AT1G01250	AP2-EREBP	TF
AT1G43160	AP2-EREBP	TF
AT4G28140	AP2-EREBP	TF
AT2G20880	AP2-EREBP	TF
AT4G13620	AP2-EREBP	TF
AT1G36060	AP2-EREBP	TF
AT1G63040	AP2-EREBP	TF
AT2G23340	AP2-EREBP	TF
AT2G47520	AP2-EREBP	TF
AT2G22200	AP2-EREBP	TF
AT4G39780	AP2-EREBP	TF
AT5G52020	AP2-EREBP	TF
AT4G36900	AP2-EREBP	TF
AT1G46768	AP2-EREBP	TF
AT2G33710	AP2-EREBP	TF
AT5G65130	AP2-EREBP	TF
AT5G67190	AP2-EREBP	TF
AT5G07310	AP2-EREBP	TF
AT3G50260	AP2-EREBP	TF
AT2G40220	AP2-EREBP	TF
AT5G61890	AP2-EREBP	TF
AT1G77640	AP2-EREBP	TF
AT3G57600	AP2-EREBP	TF
AT1G22190	AP2-EREBP	TF
AT1G78080	AP2-EREBP	TF
AT5G50080	AP2-EREBP	TF
AT3G16770	AP2-EREBP	TF
AT5G13330	AP2-EREBP	TF
AT1G44830	AP2-EREBP	TF
AT1G64380	AP2-EREBP	TF
AT1G21910	AP2-EREBP	TF
AT5G05410	AP2-EREBP	TF
AT3G15210	AP2-EREBP	TF
AT1G75490	AP2-EREBP	TF
AT5G18450	AP2-EREBP	TF
AT3G11020	AP2-EREBP	TF
AT5G44210	AP2-EREBP	TF
AT4G11140	AP2-EREBP	TF
AT5G61600	AP2-EREBP	TF
AT1G53170	AP2-EREBP	TF
AT5G51190	AP2-EREBP	TF
AT4G27950	AP2-EREBP	TF
AT5G53290	AP2-EREBP	TF
AT4G34410	AP2-EREBP	TF
AT1G53910	AP2-EREBP	TF
AT5G64750	AP2-EREBP	TF
AT1G19210	AP2-EREBP	TF
AT1G72360	AP2-EREBP	TF
AT3G14230	AP2-EREBP	TF
AT2G46310	AP2-EREBP	TF
AT3G61630	AP2-EREBP	TF
AT4G23750	AP2-EREBP	TF
AT2G40340	AP2-EREBP	TF
AT1G03800	AP2-EREBP	TF
AT1G04370	AP2-EREBP	TF
AT5G43410	AP2-EREBP	TF
AT5G19790	AP2-EREBP	TF
AT1G28360	AP2-EREBP	TF
AT1G28370	AP2-EREBP	TF
AT3G23230	AP2-EREBP	TF
AT5G47230	AP2-EREBP	TF
AT5G67000	AP2-EREBP	TF
AT1G74930	AP2-EREBP	TF
AT5G07580	AP2-EREBP	TF
AT1G71520	AP2-EREBP	TF
AT1G15360	AP2-EREBP	TF
AT5G61590	AP2-EREBP	TF
AT4G17500	AP2-EREBP	TF
AT2G40350	AP2-EREBP	TF
AT5G47220	AP2-EREBP	TF
AT1G12980	AP2-EREBP	TF
AT2G20350	AP2-EREBP	TF
AT1G22810	AP2-EREBP	TF
AT3G23240	AP2-EREBP	TF
AT1G06160	AP2-EREBP	TF
AT2G44840	AP2-EREBP	TF
AT2G25820	AP2-EREBP	TF
AT4G17490	AP2-EREBP	TF
AT4G31060	AP2-EREBP	TF
AT5G25190	AP2-EREBP	TF
AT5G25390	AP2-EREBP	TF
AT1G24590	AP2-EREBP	TF
AT1G50640	AP2-EREBP	TF
AT1G68550	AP2-EREBP	TF
AT3G23220	AP2-EREBP	TF
AT3G20310	AP2-EREBP	TF
AT1G28160	AP2-EREBP	TF
AT1G12890	AP2-EREBP	TF
AT5G13910	AP2-EREBP	TF
AT2G31230	AP2-EREBP	TF
AT2G38340	AP2-EREBP	TF
AT1G22985	AP2-EREBP	TF
AT1G71130	AP2-EREBP	TF
AT4G18450	AP2-EREBP	TF
